,Rue,Adresse,Nombre,Lat,Long,Bureau,Voix LFI du bureau,Nombre d'électeurs du bureau,Voix estimées
1370,AVENUE ROBERTO ROSSELLINI,6 AVENUE ROBERTO ROSSELLINI ,4,45.7785813,4.8623053,26,207,1166,1.5478452113465557
1371,AVENUE ROBERTO ROSSELLINI,4 AVENUE ROBERTO ROSSELLINI ,8,45.7787009,4.8623184,26,207,1166,3.0956904226931115
1372,AVENUE ROBERTO ROSSELLINI,2 AVENUE ROBERTO ROSSELLINI ,4,45.7789076,4.8623209,26,207,1166,1.5478452113465557
1373,BD DU 11 NOVEMBRE 1918,  46 BD DU 11 NOVEMBRE 1918 ,206,45.7785925,4.8640255,26,207,1166,79.71402838434761
1374,BD DU 11 NOVEMBRE 1918,  46 BD DU 11 NOVEMBRE 1918 ,2,45.7785925,4.8640255,26,207,1166,0.7739226056732779
1375,BD DU 11 NOVEMBRE 1918,  50 BD DU 11 NOVEMBRE 1918 ,3,45.7789217,4.8648219,26,207,1166,1.1608839085099167
1376,BD DU 11 NOVEMBRE 1918,  52 BD DU 11 NOVEMBRE 1918 ,3,45.7789217,4.8648219,26,207,1166,1.1608839085099167
1377,BD DU 11 NOVEMBRE 1918,  54 BD DU 11 NOVEMBRE 1918 ,7,45.7789217,4.8648219,26,207,1166,2.7087291198564727
1378,BD DU 11 NOVEMBRE 1918,  54 BD DU 11 NOVEMBRE 1918 ,2,45.7789217,4.8648219,26,207,1166,0.7739226056732779
1379,BD DU 11 NOVEMBRE 1918,  52 BD DU 11 NOVEMBRE 1918 ,9,45.7789343,4.8646009,26,207,1166,3.48265172552975
1380,BD DU 11 NOVEMBRE 1918,  50 BD DU 11 NOVEMBRE 1918 ,5,45.7789485,4.86434,26,207,1166,1.9348065141831945
1381,BD DU 11 NOVEMBRE 1918,  48 BD DU 11 NOVEMBRE 1918 ,15,45.7789549,4.8642257,26,207,1166,5.804419542549583
1382,BD DU 11 NOVEMBRE 1918,  14 BD DU 11 NOVEMBRE 1918 ,1,45.7790897,4.8615024,26,207,1166,0.38696130283663893
1383,BD DU 11 NOVEMBRE 1918,  24 BD DU 11 NOVEMBRE 1918 ,30,45.7791432,4.8620411,26,207,1166,11.608839085099167
1384,BD DU 11 NOVEMBRE 1918,  22 BD DU 11 NOVEMBRE 1918 ,27,45.7792053,4.8616922,26,207,1166,10.44795517658925
1385,BD DU 11 NOVEMBRE 1918,  22 BD DU 11 NOVEMBRE 1918 ,1,45.7792053,4.8616922,26,207,1166,0.38696130283663893
1386,BD DU 11 NOVEMBRE 1918,  18 BD DU 11 NOVEMBRE 1918 ,17,45.7792176,4.861463,26,207,1166,6.578342148222862
1387,BD DU 11 NOVEMBRE 1918,  16 BD DU 11 NOVEMBRE 1918 ,20,45.7792346,4.8612009,26,207,1166,7.739226056732778
1388,BD DU 11 NOVEMBRE 1918,  12 BD DU 11 NOVEMBRE 1918 ,10,45.7793375,4.8608568,26,207,1166,3.869613028366389
1389,BD DU 11 NOVEMBRE 1918,  12 BD DU 11 NOVEMBRE 1918 ,1,45.7793375,4.8608568,26,207,1166,0.38696130283663893
1390,RUE JOHN FORD,  15 RUE JOHN FORD ,82,45.7785843,4.8612578,26,207,1166,31.73082683260439
1391,RUE LOUIS GUERIN,31  RUE LOUIS GUERIN ,40,45.7771998,4.8603291,26,207,1166,15.478452113465556
1392,RUE LOUIS GUERIN,29  RUE LOUIS GUERIN ,43,45.7773271,4.8605252,26,207,1166,16.639336021975474
1393,BD 11 NOVEMBRE,  48 BD 11 NOVEMBRE ,3,45.7789217,4.8648219,26,207,1166,1.1608839085099167
1394,RUE DU BOULEVARD,14 RUE DU BOULEVARD ,1,45.777821,4.8684663,27,135,1136,0.23044793945623063
1395,RUE RUE GERVAIS BUSSIERE,14 RUE RUE GERVAIS BUSSIERE ,1,45.7747478,4.8699276,24,169,1165,0.30822319180334257
1396,RUE GERVAIS BUSSIERE,  36 RUE GERVAIS BUSSIERE ,10,45.772174,4.8695136,24,169,1165,3.0822319180334254
1397,RUE GERVAIS BUSSIERE,5 RUE GERVAIS BUSSIERE ,22,45.7751399,4.8701388,25,163,1241,6.725217834056852
1398,RUE GERVAIS BUSSIERE,5 RUE GERVAIS BUSSIERE ,3,45.7751399,4.8701388,25,163,1241,0.9170751591895707
1399,RUE HECTOR BERLIOZ,23 RUE HECTOR BERLIOZ ,30,45.7715158,4.8681939,34,163,1250,7.499380694713213
1400,RUE HECTOR BERLIOZ,  14 RUE HECTOR BERLIOZ ,8,45.7724834,4.8687286,24,169,1165,2.4657855344267405
1401,RUE JUBIN,8 RUE JUBIN ,5,45.7715473,4.8675449,32,198,1308,1.5021654636821304
1402,RUE JUBIN,"  10, RUE JUBIN ",16,45.7716648,4.8676287,32,198,1308,4.806929483782818
1403,RUE JUBIN,"  18, RUE JUBIN ",34,45.7721286,4.8679623,32,198,1308,10.214725153038486
1404,RUE RUE JUBIN,2 RUE RUE JUBIN ,8,45.7712378,4.8673054,32,198,1308,2.403464741891409
1405,RUE HENRI ROLLAND ALL A,"  4, RUE HENRI ROLLAND ALL A ",8,45.7719659,4.863011,31,143,1166,2.104064037356051
1406,RUE HENRI ROLLAND ALL B,"  4, RUE HENRI ROLLAND ALL B ",6,45.7719659,4.863011,31,143,1166,1.578048028017038
1407,RUE HENRI ROLLAND ALL C,"  4, RUE HENRI ROLLAND ALL C ",6,45.7719659,4.863011,31,143,1166,1.578048028017038
1408,RUE HENRI ROLLAND ALL D,"  4, RUE HENRI ROLLAND ALL D ",6,45.7719659,4.863011,31,143,1166,1.578048028017038
1409,RUE HENRI ROLLAND ALL E,"  4, RUE HENRI ROLLAND ALL E ",6,45.7719659,4.863011,31,143,1166,1.578048028017038
1410,RUE RUE D'HANOI,12 RUE RUE D'HANOI ,12,45.7713318,4.8628178,32,198,1308,3.6051971128371134
1411,RUE RUE D'HANOI,10 RUE RUE D'HANOI ,16,45.7713445,4.8625917,32,198,1308,4.806929483782818
